WorkOrderName,DateTime_Received,Address,Cross_Street,ZipCode,Comment,Latitude,Longitude,SubCategory,Hour,Minute,Year,Month,Day,Weekday
WO-0000390093,2020-01-05 02:47:35,5329 Dexter Dr  San Jose  CA  USA,,95123,There is illegal dumping on the corner of Dexter Drive and banana Grove Lane.,37.25788,-121.824133,Garbage and Debris,2,47,2020,1,5,6
WO-0000014130,2016-02-12 18:34:10,Tuers Rd and Kittchner Cir,,95111,1 garbage bag,37.292225,-121.818577,Unknown,18,34,2016,2,12,4
WO-0000398344,2020-01-22 03:42:05,84 South 19th Street  San Jose  CA  USA,,95116,Desk dumped on the curb in front of vacant lot. It’s at the corner of San Fernando Street & 84 S 19th Street.,37.343014,-121.870487,Unknown,3,42,2020,1,22,2
WO-0000001021,2018-06-06 13:23:10,Boynton Ave and Hayden Dr,,95117,self discovery,37.307752,-121.966049,Unknown,13,23,2018,6,6,2
WO-0000130316,2016-02-21 15:54:52,1383 Magnolia Avenue  San Jose  California 95126  United States,,95126,Someone left carts at driveway to dentist,37.330864,-121.919823,Garbage and Debris,15,54,2016,2,21,6
WO-0000215991,2021-10-26 00:28:52,105 Roundtable Drive  San Jose  California 95111  United States,,95111,Brown shelves,37.261046,-121.807077,Furniture,0,28,2021,10,26,1
WO-0000037899,2015-06-13 17:22:34,1675-1697 Pomona Ave,,95110,X Barnard Bricks,37.309471,-121.872239,Other,17,22,2015,6,13,5
WO-0000172118,2017-02-13 15:00:23,2010 Monterey Road  San Jose  California 95112  United States,,95112,In frint if 2010 Monterey Road,37.306395,-121.863436,Unknown,15,0,2017,2,13,0
WO-0000096853,2019-07-07 07:35:56,2167 Piedmont Rd  San Jose  CA 95132  USA,,95132,Massive pile of tree and yard trimmings left out on the sidewalk between rowley and Sydney Drive,37.419712,-121.85939,Unknown,7,35,2019,7,7,6
WO-0000234245,2017-04-26 20:30:47,1283 S Almaden Ave,,95110,Shelves and general debris,37.314908,-121.880125,Garbage and Debris,20,30,2017,4,26,2
WO-0000438867,2017-01-20 14:40:59,2982 McKee Rd  San Jose  CA 95127  USA,,95127,Challenger,37.373523,-121.837851,Unknown,14,40,2017,1,20,4
WO-0000439714,2021-05-04 11:02:37,Bluebird Drive & Eden Avenue,,95117,Priority - More broken auto glass. On the street  near curb  and on sidewalk. (Another  4th  break-in  I guess.),37.302689,-121.95449,Unknown,11,2,2021,5,4,1
WO-0000136056,2020-09-08 05:57:31,545 South 15th Street  San Jose  California 95112  United States,,95112,Large pile of items dumped here,37.334483,-121.869968,Unknown,5,57,2020,9,8,1
WO-0000186321,2018-02-11 12:24:48,2965 Lone Bluff Way  San Jose  California 95111  United States,,95111,These Matters been here for a while.,37.300106,-121.837254,Unknown,12,24,2018,2,11,6
WO-0000154378,2015-04-12 16:10:21,650 Tisch Way  San Jose  California 95128  United States,,95128,Garbage is back.  There is also a TV a few yards up the street on the corner of Winchester and Tisch,37.317216,-121.949667,Garbage and Debris,16,10,2015,4,12,6
WO-0000142623,2018-07-09 13:34:16,298 South 20th Street  San Jose  California 95116  United States,,95116,Bed headboard,37.340538,-121.866995,Furniture,13,34,2018,7,9,0
WO-0000399731,2016-03-11 12:12:06,2902 Rosemary Ln,,95128,Junk,37.295274,-121.945179,Garbage and Debris,12,12,2016,3,11,4
WO-0000269331,2017-12-23 10:33:26,3071 Rose Ave  San Jose  CA 95127  USA,,95127,Dresser,37.363802,-121.828568,Furniture,10,33,2017,12,23,5
WO-0000360367,2017-04-30 03:59:46,89 Shenado Pl,,95136,2 lawnmowers and debris,37.259066,-121.811463,Unknown,3,59,2017,4,30,6
WO-0000253540,2015-03-03 18:40:39,2151 Lynnhaven Drive  San Jose  California 95128  United States,,95128,On del mar ave at lynnhaven.,37.308454,-121.930614,Unknown,18,40,2015,3,3,1
WO-0000367969,2019-04-10 20:43:16,1755 La Porte Ave,,95122,c/s Bermuda Wy. Couch & misc. debris,37.334058,-121.834903,Garbage and Debris,20,43,2019,4,10,2
WO-0000468337,2020-06-15 23:30:30,3019a Van Sansul Ave  San Jose  CA 95128  USA,,95128,Workers in 3057 Van Sansul  owner Mr Ma  dump all the cardboards and debris in front of 3036 Van Sansul Ave,37.308554,-121.947793,Unknown,23,30,2020,6,15,0
WO-0000194029,2020-09-17 11:19:59,3035 Magliocco Dr,,95128,4 mattresses  1 range 1 desk (drawers pulled out    Nearest major cross street Winchester Blvd,37.312823,-121.948511,Garbage and Debris,11,19,2020,9,17,3
WO-0000438386,2015-01-22 12:08:43,1630 Montevideo Ln  San Jose  CA 95127  USA,,95127,Next to the sidewalk,37.344407,-121.818802,Unknown,12,8,2015,1,22,3
WO-0000450451,2018-08-28 08:05:11,110 Roundtable Dr  San Jose  CA 95111  USA,,95111,Mattress on w side walk,37.260868,-121.807357,Mattress,8,5,2018,8,28,1
WO-0000471123,2020-10-29 16:08:32,3136 Cadillac Dr,,95117,Couch,37.296819,-121.951134,Furniture,16,8,2020,10,29,3
WO-0000452382,2017-10-02 08:20:37,2216 Berkeley Way  San Jose  CA 95116  USA,,95116,This is on the left side of the side walk of our house. The person doing it lives on 2221 Berkeley Way.,37.352701,-121.839831,Hazardous Waste,8,20,2017,10,2,0
WO-0000155185,2020-05-09 09:11:59,354 Fuller Ave  San Jose  CA 95125  USA,,95125,Dumping of miscellaneous items on both sides of bridge at Fuller/Prevost - clothes  toys  furniture,37.317535,-121.890968,Unknown,9,11,2020,5,9,5
WO-0000227017,2021-04-27 07:08:39,1761 Ewer Drive  San Jose  California 95124  United States,,95124,Mattress and cabinet,37.256498,-121.913908,Garbage and Debris,7,8,2021,4,27,1
WO-0000258502,2015-08-08 09:28:56,237 n 8th st,,95112,cs E St James St mattresses & furn partially blocking sidewalk,37.343137,-121.886078,Garbage and Debris,9,28,2015,8,8,5
WO-0000090379,2019-03-20 19:24:28,1908-1918  Edgestone Circle  San Jose  California  95122  United States,,95122,Mattress on sidewalk.,37.322882,-121.822143,Mattress,19,24,2019,3,20,2
WO-0000419483,2019-07-02 17:01:02,252 Mahoney Dr  San Jose  CA 95127  USA,,95127,Claremont and Mahoney dr.,37.372036,-121.814761,Garbage and Debris,17,1,2019,7,2,1
WO-0000400231,2018-07-21 05:23:40,851 Del Mar Avenue  San Jose  CA 95128  USA,,95128,Del Mar x Fruitdale.. north of 851 Del Mar on sidewalk and tree line,37.312676,-121.927824,Garbage and Debris,5,23,2018,7,21,5
WO-0000058045,2020-06-23 20:35:18,Orchard Park Dr & Bangor Ave,,95123,2 carts,37.248013,-121.825929,Yard Waste,20,35,2020,6,23,1
WO-0000432447,2015-03-16 12:57:51,247 Brooklyn Ave,,95128,cones left behind  after tree issue was resolved  trees and sidewalks asked for assistance picking them up.,37.327942,-121.927778,Unknown,12,57,2015,3,16,0
WO-0000017753,2018-12-14 15:37:14,469 Don Edgardo Ct,,95123,on Velsaco suitcase,37.253538,-121.841135,Garbage and Debris,15,37,2018,12,14,4
WO-0000372574,2017-06-05 19:10:07,Vennum Drive  San Jose  CA 95131  USA,,95133,Concrete Waste: at the Middle Vennum Drive  San Jose CA 95131 between Frost Drive @ Cleo Spring Drive.,37.374902,-121.86788,Garbage and Debris,19,10,2017,6,5,0
WO-0000137959,2017-02-07 11:06:08,322 Page Street  San Jose  California 95126  United States,,95126,Cabinet,37.322964,-121.915489,Garbage and Debris,11,6,2017,2,7,1
WO-0000246627,2017-11-10 03:04:02,398 East San Salvador Street  San Jose  California 95112  United States,,95112,Couch,37.333469,-121.877228,Unknown,3,4,2017,11,10,4
WO-0000011085,2015-11-24 09:17:08,Flanigan Dr and Alvin Ave,,95121,4 mattresses- 2 couches,37.317801,-121.824843,Unknown,9,17,2015,11,24,1
WO-0000097988,2019-09-10 11:29:12,Willow Street and LeLong,,95125,Huge garbage pile need heavy equipment,37.315097,-121.888533,Unknown,11,29,2019,9,10,1
WO-0000360866,2015-01-29 09:58:56,567 Columbia Ave  San Jose  CA 95126  USA,,95126,Columbia and Bird ave  They are blocking the sidewalk.,37.324238,-121.89981,Mattress,9,58,2015,1,29,3
WO-0000390935,2019-07-05 17:30:26,345 S Willard Ave,,95126,lots of furniture out near street,37.322338,-121.917342,Unknown,17,30,2019,7,5,4
WO-0000204751,2015-05-19 05:27:08,451 Blossom Hill Rd,,95123,Shopping carts,37.251792,-121.830869,Other,5,27,2015,5,19,1
WO-0000314238,2015-02-11 13:39:57,51 Willow Street  San Jose  California 95110  United States,,95110,Trash in red zone.,37.320141,-121.879756,Unknown,13,39,2015,2,11,2
WO-0000174826,2016-08-13 14:30:59,361 Coleman Avenue  San Jose  California 95110  United States,,95110,Trash being dumped st San Pedro & Bassett Streets.,37.340576,-121.896907,Unknown,14,30,2016,8,13,5
WO-0000242084,2020-02-03 19:31:02,982 McKinley Avenue  San Jose  California 95126  United States,,95126,Cooler left on sidewalk.,37.307091,-121.918808,Unknown,19,31,2020,2,3,0
WO-0000240543,2021-07-20 21:51:30,2951 Winwood Way  San Jose  California 95148  United States,,95148,Sofa,37.324953,-121.788772,Unknown,21,51,2021,7,20,1
WO-0000039972,2020-10-23 23:33:27,1600 mt zion ave,,95127,cs mt rainier pole  sticks  other industrial trash at cg,37.350482,-121.805064,Unknown,23,33,2020,10,23,4
WO-0000139559,2020-04-22 21:49:45,201  Bendorf Drive  San Jose  California  95111  United States,,95111,Television,37.259895,-121.804806,Unknown,21,49,2020,4,22,2
WO-0000248642,2020-04-13 22:44:45,114 North 6th Street  San Jose  California 95112  United States,,95112,Couch in driveway of abandoned house,37.340561,-121.88656,Furniture,22,44,2020,4,13,0
WO-0000149209,2018-10-22 00:30:03,200 Saddlebrook Drive  San Jose  California  95136  United States,,95136,Dumping of various materials,37.265236,-121.819809,Unknown,0,30,2018,10,22,0
WO-0000168911,2021-02-11 04:47:47,1017 Ruge Drive  San Jose  California 95132  United States,,95132,trash and shopping carts,37.384365,-121.856509,Unknown,4,47,2021,2,11,3
WO-0000167273,2020-06-26 10:17:49,curtner & communication hill,,95125,piles of garbage on the side walk,37.298862,-121.868821,Unknown,10,17,2020,6,26,4
WO-0000158082,2015-09-08 14:17:24,448 Allegan Circle  San Jose  California 95123  United States,,95123,Mattress at corner,37.233933,-121.817019,Unknown,14,17,2015,9,8,1
WO-0000015523,2017-07-22 03:43:19,1890 southwest expressway,,95126,c/s De Rose Wy sofa,37.30315,-121.925136,Furniture,3,43,2017,7,22,5
WO-0000034725,2016-06-23 07:38:13,483 Sebasian Way,,95111,c/s Gilmore Ct- fridge,37.283646,-121.826948,Unknown,7,38,2016,6,23,3
WO-0000249978,2016-12-14 07:15:11,3745 Deans Place Way  San Jose  California 95121  United States,,95121,illegal dumping,37.29858,-121.810596,Garbage and Debris,7,15,2016,12,14,2
WO-0000364063,2020-10-19 12:31:18,1302 Shortridge Ave c  San Jose  CA 95116  USA,,95116,Illegal dumping of tires,37.34732,-121.864171,Garbage and Debris,12,31,2020,10,19,0
WO-0000087184,2017-03-14 07:07:12,148 S 33rd St  San Jose  CA 95116  USA,,95116,Couch with trash on it.,37.348972,-121.857112,Garbage and Debris,7,7,2017,3,14,1
WO-0000128492,2019-06-13 07:35:09,777 S 2nd St,,95112,ALLEY 14.   sofas  mattress  greenwaste,37.32479,-121.881054,Unknown,7,35,2019,6,13,3
WO-0000251832,2021-10-14 07:39:10,2199 Laurelei Ave  San Jose  CA 95128  USA,,95128,both sides of bridge and road have debris like stroller and shopping cart,37.330355,-121.940168,Garbage and Debris,7,39,2021,10,14,3
WO-0000462019,2017-02-04 12:26:53,349 E St James St,,95112,Mattresses and debris left out at the park strip. Please collect. Thanks.,37.342737,-121.885634,Unknown,12,26,2017,2,4,5
WO-0000408172,2016-01-30 11:39:03,2298 Tampa Way  San Jose  CA 95122  USA,,95122,Carpet,37.323647,-121.828124,Unknown,11,39,2016,1,30,5
WO-0000301832,2016-03-13 01:08:48,2364 Summer Street  San Jose  California 95116  United States,,95116,refrigerator dumped,37.353748,-121.837313,Unknown,1,8,2016,3,13,6
WO-0000368448,2020-05-02 23:32:33,423 Willow St  San Jose  CA 95110  USA,,95110,Lelong Illegal dumping and graffiti under Hwy 87 bridge,37.315357,-121.888152,Other,23,32,2020,5,2,5
WO-0000405189,2015-04-27 15:20:34,102 N 14th St  San Jose  CA 95112  USA,,95112,Dumped furniture pieces in a box  next to an overflowing trash can,37.344002,-121.878194,Unknown,15,20,2015,4,27,0
WO-0000387670,2021-07-05 04:15:12,1218 Park Ave  San Jose  CA 95126  USA,,95126,Behind  on the side of and in front of 1217 Park Ave.,37.32628,-121.914808,Unknown,4,15,2021,7,5,0
WO-0000410088,2020-06-25 03:48:58,2214 Galveston Ave  San Jose  CA 95122  USA,,95122,Christmas tree dumped on water district,37.312948,-121.843049,Other,3,48,2020,6,25,3
WO-0000378578,2021-09-06 11:16:47,1510 Stokes St,,95126,c/s Francisco Ave mattress,37.301335,-121.920755,Mattress,11,16,2021,9,6,0
WO-0000470481,2015-11-05 10:38:55,1584 Mendenhall Dr,,95130,Junk,37.294318,-121.974678,Garbage and Debris,10,38,2015,11,5,3
WO-0000441647,2015-12-22 18:21:39,1665 Sundown Ln  San Jose  CA 95127  USA,,95127,Junk,37.345247,-121.816179,Garbage and Debris,18,21,2015,12,22,1
WO-0000337684,2018-03-18 07:13:39,2836 Plumas Dr  San Jose  CA 95121  USA,,95121,Back of Windmill Springs Park,37.309278,-121.823444,Unknown,7,13,2018,3,18,6
WO-0000265949,2021-11-22 13:42:20,909 Vine St  San Jose  CA 95110  USA,,95110,Tires  chairs  tree trunks  and miscellaneous plastic and other garbage lying within the alley.,37.319556,-121.884817,Unknown,13,42,2021,11,22,0
WO-0000337082,2018-06-17 02:13:24,142 North 14th Street  San Jose  California 95112  United States,,95112,In front of 152 N 14th: dumped trash,37.344747,-121.878687,Garbage and Debris,2,13,2018,6,17,6
WO-0000300122,2019-04-02 22:59:12,144 Checkers Drive  San Jose  California 95116  United States,,95116,Pile of garbage left near utility box.,37.357266,-121.853271,Garbage and Debris,22,59,2019,4,2,1
WO-0000449269,2020-11-05 09:54:23,4196 San Bernardino Way  San Jose  CA 95111  USA,,95111,Junk,37.278937,-121.827759,Hazardous Waste,9,54,2020,11,5,3
WO-0000016288,2016-12-19 15:03:55,1149 Boynton Ave,,95117,c/s Rhoda Dr. 2 couches,37.304987,-121.966318,Furniture,15,3,2016,12,19,0
WO-0000239935,2019-05-24 05:29:56,4104 Dulcey Drive  San Jose  CA  USA,,95136,Illegal dumping - I do not have a photo of the broken car parts in the street  so can not submit under illegal dumping since it requires a photo.,37.272801,-121.841917,Unknown,5,29,2019,5,24,4
WO-0000231018,2020-10-19 00:45:12,810 N 16th St,,95112,Office chair,37.358906,-121.886779,Furniture,0,45,2020,10,19,0
WO-0000359191,2015-08-01 21:28:51,2101 Saffarian Ct  San Jose  CA 95121  USA,,95121,Bags of garbage and other jump left here,37.30995,-121.800129,Unknown,21,28,2015,8,1,5
WO-0000014313,2016-09-10 16:16:13,1213 boynton ave,,95117,sofa  2 full size mattresses  2 chairs lazyboy bridgeport ct,37.303546,-121.966041,Unknown,16,16,2016,9,10,5
WO-0000073853,2020-06-08 09:30:41,1072 Vermont St  San Jose  CA 95126  USA,,95126,Sofa  etc,37.342911,-121.924416,Garbage and Debris,9,30,2020,6,8,0
WO-0000157529,2017-05-18 05:32:31,1338 Essex Way  San Jose  CA 95117  USA,,95117,Couches  boxes  fridge  chairs dumped by driveway,37.300575,-121.956246,Unknown,5,32,2017,5,18,3
WO-0000038079,2015-03-02 12:45:18,1350 Bacchus Drive  San Jose  CA  United States,,95122,In the parking lot at Fair Swim Center there is a mattress.,37.326813,-121.841644,Unknown,12,45,2015,3,2,0
WO-0000389804,2020-11-14 05:55:40,423 Gremlin Ct  San Jose  CA 95111  USA,,95111,Couch on corner,37.288893,-121.833877,Unknown,5,55,2020,11,14,5
WO-0000137002,2015-12-01 08:40:25,159 Nancy Lane  San Jose  California 95127  United States,,95127,Dumping of a variety of things,37.361645,-121.830338,Unknown,8,40,2015,12,1,1
WO-0000203670,2020-07-23 10:17:26,Lexington Avenue,,95123,Shopping carts,37.251603,-121.799224,Other,10,17,2020,7,23,3
WO-0000317648,2015-03-11 03:02:38,Monterey rd at skyway dr,,95111,Rug,37.27249,-121.828911,Garbage and Debris,3,2,2015,3,11,2
WO-0000392372,2015-04-24 09:08:19,90 N 17th St  San Jose  CA 95112  USA,,95112,The number of people sleeping in tents and vehicles has rapidly increased since the first of the year and now there are upwards of 10 small encampments adjacent to our home.   We see people defecate and pull their pants down on a daily basis. We have found paraphernalia in our yard.,37.344888,-121.875147,Unknown,9,8,2015,4,24,4
WO-0000005952,2015-08-18 09:08:57,1298 Keoncrest Ave,,95110,c/s Rosemary St lots of trash behind fence mainly bags with garb in it,37.359614,-121.908887,Unknown,9,8,2015,8,18,1
WO-0000206998,2020-01-17 17:26:45,434 Gridley St  San Jose  CA 95127  USA,,95127,Someone dump a basket of Broken glass on the sidewalk opposite to my driveway...  It's very dangerous because kid's from elementary school  walking  on that sidewalk,37.380224,-121.832898,Unknown,17,26,2020,1,17,4
WO-0000096217,2019-12-27 15:38:50,3669 Lisbon Ct,,95132,2 large sofas and a chair out front of house,37.421996,-121.85962,Furniture,15,38,2019,12,27,4
WO-0000400294,2017-07-30 07:26:59,Alexia’s Drive /  Jose Figueres Ave  San Jose  CA 95116  USA,,95116,This was left out on the sidewalk,37.359079,-121.849028,Other,7,26,2017,7,30,6
WO-0000356981,2018-06-08 07:21:01,3335 Mt Everest Dr  San Jose  CA 95127  USA,,95127,On sidewalk in front of 3335 Mt Everest Dr,37.353441,-121.806301,Unknown,7,21,2018,6,8,4
WO-0000014895,2017-08-03 01:05:20,Chynoweth Ave and 87 underpass,,95110,The ditch along Chynoweth under the 87 overpass is not draining.  Dirt has filled some of the ditch so the drain and other parts are no longer connected,37.317259,-121.889162,Unknown,1,5,2017,8,3,3
WO-0000346387,2018-03-03 07:11:34,1607 Koch Ln  San Jose  CA 95125  USA,,95125,If Laura Wells won’t keep her commitment to provide a mechanism for determining if an abandoned vehicle has moved 1/10th of a mile and if Jim Ortbal won’t return my calls  I’ll get a return on my tax dollars by having my requests closed by a government worker. Someone dumped an old RV at Husted and Booksin. The government workers haven’t done anything about it. I don’t think they’re capable of getting ANYTHING done. The license number is 6tiy589. Certainly Bernie Rosales or Michael Garcia will demonstrate some initiative – if nothing else than by closing my requests. After more than 40 000 requests  you would think that the government workers would do something.,37.27413,-121.90348,Unknown,7,11,2018,3,3,5
WO-0000306937,2021-01-10 00:32:37,1610 Koch Ln  San Jose  CA 95125  USA,,95125,How many government workers does it take to do NOTHING about the RV that’s causing potholes at Husted and Booksin? It must be quite a few because I’ve submitted more than 14 000 requests to have this junk dealt with and ABSOLUTELY NOTHING has been done about it.,37.273754,-121.903457,Unknown,0,32,2021,1,10,6
WO-0000385956,2017-10-15 10:03:59,Tully Rd & Lanai Avenue  San Jose  CA  USA,,95122,Please help! Someone dumped large trash on Tully Road /Lanai towards the 101 highway. THANK YOU,37.321304,-121.832354,Garbage and Debris,10,3,2017,10,15,6
WO-0000305248,2020-10-25 05:41:36,San Tomas Expressway & Moorpark Avenue,,95117,black piece of metal in road way in number one lane turning left onto moorpark,37.316051,-121.963894,Unknown,5,41,2020,10,25,6
WO-0000022754,2021-03-13 22:31:29,Ridgemont Dr & Bluewater Ct,,95148,1 cart,37.341977,-121.811033,Other,22,31,2021,3,13,5
WO-0000227922,2017-11-21 01:44:52,1650 Las Plumas Ave,,95133,Mattress and garbage,37.361044,-121.866134,Garbage and Debris,1,44,2017,11,21,1
WO-0000051201,2019-02-25 09:43:06,472-478 Lewis Road  San Jose  CA 95111,,95111,Oil jugs,37.29633,-121.8394,Unknown,9,43,2019,2,25,0
WO-0000229187,2020-01-16 03:49:51,219 Chantilley Ln,,95139,Baby crib,37.222879,-121.774746,Garbage and Debris,3,49,2020,1,16,3
WO-0000163420,2017-08-10 03:02:15,3811 williams Rd,,95117,cs Keltner Ave Glass and oil spill.,37.308491,-121.96808,Other,3,2,2017,8,10,3
WO-0000396251,2021-02-22 17:29:02,1656 Scotty St  San Jose  CA 95122  USA,,95122,someone dumped mattress  boxspring  boxes and black trash bags on both sides of the road between Scotty & Christopher but on Florida St.,37.335827,-121.841372,Garbage and Debris,17,29,2021,2,22,0
WO-0000178131,2017-03-03 11:18:36,4712 Albany Drive  San Jose  CA  USA,,95129,San Jose Police were called to dislodge several individuals living out of their vehicles just down from 4712 Albany Drive near the intersection with Capistrano Avenue. They eventually drove away but left behind a pile of foam cushions  an aluminum chair (off the photo to left)  half a dozen or so glass panels  and two bags of garbage.,37.321274,-121.98622,Garbage and Debris,11,18,2017,3,3,4
WO-0000430868,2019-10-14 14:01:55,734 N 11th St  San Jose  CA 95112  USA,,95112,Large Mattress and junk. Illegal dump.,37.354904,-121.890334,Mattress,14,1,2019,10,14,0
WO-0000131574,2018-06-07 10:02:59,824 Foothill Dr  San Jose  CA 95123  USA,,95123,1/3 of box springs mattress  white in color,37.23714,-121.853862,Mattress,10,2,2018,6,7,3
WO-0000384341,2019-01-24 12:08:09,1589 Schallenberger Rd,,95131,Mattress  cart & pallet on street.,37.37873,-121.898561,Garbage and Debris,12,8,2019,1,24,3
WO-0000101188,2018-06-24 23:29:57,445-449 North 3rd Street  San Jose  California  95112  United States,,95112,Stove,37.344597,-121.894073,Other,23,29,2018,6,24,6
WO-0000356963,2019-11-15 09:30:01,4238 Avon Ct  San Jose  CA 95136  USA,,95136,On sidewalk in front of 4238 Avon Ct,37.271353,-121.844043,Unknown,9,30,2019,11,15,4
WO-0000400349,2016-08-21 16:27:21,635 Sinclair Dr  San Jose  CA 95116  USA,,95116,Across the street from the house. Mattress is laying on the tree on Sincclair Dr,37.34941,-121.841624,Mattress,16,27,2016,8,21,6
WO-0000357727,2017-10-11 08:31:59,1768 Rock Springs Dr  San Jose  CA 95112  USA,,95112,On rock springs dr near needles. On southeast side of street south of the basketball court in dirt area,37.318274,-121.855813,Unknown,8,31,2017,10,11,2
WO-0000418295,2018-01-11 00:55:04,1805 Phelan Avenue  San Jose  CA 95122  USA,,95122,Dumping is along phelan ave right before the court,37.323559,-121.846898,Garbage and Debris,0,55,2018,1,11,3
